-0.1	2.56489e-11	6.12752e-12	8.578e-12	
-0.0888889	2.49837e-11	4.78449e-12	1.47567e-11	
-0.0777778	1.57396e-11	1.06863e-11	3.85658e-12	
-0.0666667	1.6476e-11	1.01052e-11	6.55164e-12	
-0.0555556	3.29327e-11	7.11235e-12	4.36672e-12	
-0.0444444	1.59728e-11	9.04274e-12	5.62003e-12	
-0.0333333	1.41234e-11	1.50794e-11	7.51914e-12	
-0.0222222	5.28306e-12	1.26352e-11	6.95445e-12	
-0.0111111	5.33666e-12	1.45986e-11	8.0756e-12	
0	1.18522e-11	9.36133e-12	7.59334e-12	
-0.1	4.9723e-11	5.76227e-11	3.94934e-11	
-0.0888889	5.21377e-11	1.02105e-10	7.14058e-11	
-0.0777778	5.01236e-11	4.00884e-11	3.58281e-11	
-0.0666667	2.56452e-09	4.05468e-11	4.56056e-11	
-0.0555556	5.31234e-11	3.85093e-11	3.41184e-11	
-0.0444444	4.76358e-11	4.23171e-11	3.766e-11	
-0.0333333	4.93411e-11	3.90541e-11	3.61907e-11	
-0.0222222	5.16522e-11	4.25059e-11	3.50428e-11	
-0.0111111	5.03108e-11	3.91953e-11	4.24686e-11	
0	4.97134e-11	3.92551e-11	3.30205e-11	
